symbol,date,high,low,close,timePeriod
MSFT,2022-09-19,245.14,240.85,244.52,1m
MSFT,2022-09-20,243.51,239.64,242.45,1m
MSFT,2022-09-21,247.66,238.9,238.95,1m
MSFT,2022-09-22,243.86,237.57,240.98,1m
MSFT,2022-09-23,241.13,235.2,237.92,1m
MSFT,2022-09-26,241.45,236.9,237.45,1m
MSFT,2022-09-27,241.8,234.5,236.41,1m
MSFT,2022-09-28,242.33,234.73,241.07,1m
MSFT,2022-09-29,239.95,234.41,237.5,1m
MSFT,2022-09-30,240.54,232.73,232.9,1m
MSFT,2022-10-03,241.61,234.66,240.74,1m
MSFT,2022-10-04,250.36,244.975,248.88,1m
MSFT,2022-10-05,250.58,244.1,249.2,1m
MSFT,2022-10-06,250.34,246.08,246.79,1m
MSFT,2022-10-07,241.32,233.17,234.24,1m
MSFT,2022-10-10,234.559,226.73,229.25,1m
MSFT,2022-10-11,229.06,224.11,225.41,1m
MSFT,2022-10-12,227.86,223.96,225.75,1m
MSFT,2022-10-13,236.1,219.13,234.24,1m
MSFT,2022-10-14,237.24,228.34,228.56,1m
MSFT,2022-10-17,238.96,235.135,237.53,1m
